pi@raspberrypi:~/Documents/AES-21/Project3/rpi-mmal/build $ perf record ./istool1
Running...
 camera video buffer_size = 1382400
 camera video buffer_num = 2
 preview buffer_size = 1382400
 preview buffer_num = 4
  156 Frame processing times:  Cur. 4.412685 ms  |  Avg. 3.993590 ms  |  matches:  1600
  157 Frame processing times:  Cur. 4.377518 ms  |  Avg. 3.993631 ms  |  matches:  1600
  158 Frame processing times:  Cur. 4.425943 ms  |  Avg. 3.993671 ms  |  matches:  1600
  159 Frame processing times:  Cur. 4.393518 ms  |  Avg. 3.993711 ms  |  matches:  1600
  160 Frame processing times:  Cur. 4.398685 ms  |  Avg. 3.993750 ms  |  matches:  1600
  161 Frame processing times:  Cur. 4.432814 ms  |  Avg. 3.993789 ms  |  matches:  1600
  162 Frame processing times:  Cur. 4.351426 ms  |  Avg. 3.993827 ms  |  matches:  1600
  163 Frame processing times:  Cur. 4.422962 ms  |  Avg. 3.993865 ms  |  matches:  1600
  164 Frame processing times:  Cur. 4.405223 ms  |  Avg. 3.993902 ms  |  matches:  1600
  165 Frame processing times:  Cur. 4.398889 ms  |  Avg. 3.993939 ms  |  matches:  1600
  166 Frame processing times:  Cur. 4.425314 ms  |  Avg. 3.993976 ms  |  matches:  1600
  167 Frame processing times:  Cur. 4.442833 ms  |  Avg. 3.994012 ms  |  matches:  1600
  168 Frame processing times:  Cur. 4.371851 ms  |  Avg. 3.994048 ms  |  matches:  1600
  169 Frame processing times:  Cur. 4.431963 ms  |  Avg. 3.994083 ms  |  matches:  1600
  170 Frame processing times:  Cur. 4.392240 ms  |  Avg. 3.994118 ms  |  matches:  1600
  171 Frame processing times:  Cur. 4.404259 ms  |  Avg. 3.994152 ms  |  matches:  1600
  172 Frame processing times:  Cur. 4.404648 ms  |  Avg. 3.994186 ms  |  matches:  1600
  173 Frame processing times:  Cur. 4.416223 ms  |  Avg. 3.994220 ms  |  matches:  1600
  174 Frame processing times:  Cur. 4.379852 ms  |  Avg. 3.994253 ms  |  matches:  1600
  175 Frame processing times:  Cur. 4.415296 ms  |  Avg. 3.994286 ms  |  matches:  1600
  176 Frame processing times:  Cur. 4.401519 ms  |  Avg. 3.994318 ms  |  matches:  1600
  177 Frame processing times:  Cur. 4.375907 ms  |  Avg. 3.994350 ms  |  matches:  1600
  178 Frame processing times:  Cur. 4.379037 ms  |  Avg. 3.994382 ms  |  matches:  1600
  179 Frame processing times:  Cur. 4.417389 ms  |  Avg. 3.994413 ms  |  matches:  1600
  180 Frame processing times:  Cur. 4.390870 ms  |  Avg. 3.994444 ms  |  matches:  1600
  181 Frame processing times:  Cur. 4.448500 ms  |  Avg. 3.994475 ms  |  matches:  1600
  182 Frame processing times:  Cur. 4.343036 ms  |  Avg. 3.994505 ms  |  matches:  1600
  183 Frame processing times:  Cur. 4.388815 ms  |  Avg. 3.994536 ms  |  matches:  1600
  184 Frame processing times:  Cur. 4.403407 ms  |  Avg. 3.994565 ms  |  matches:  1600
  185 Frame processing times:  Cur. 4.423630 ms  |  Avg. 3.994595 ms  |  matches:  1600
  186 Frame processing times:  Cur. 4.408055 ms  |  Avg. 3.994624 ms  |  matches:  1600
  187 Frame processing times:  Cur. 4.383593 ms  |  Avg. 3.994652 ms  |  matches:  1600
  188 Frame processing times:  Cur. 4.392389 ms  |  Avg. 3.994681 ms  |  matches:  1600
  189 Frame processing times:  Cur. 4.386723 ms  |  Avg. 3.994709 ms  |  matches:  1600
  190 Frame processing times:  Cur. 4.415981 ms  |  Avg. 3.994737 ms  |  matches:  1600
  191 Frame processing times:  Cur. 4.438296 ms  |  Avg. 3.994764 ms  |  matches:  1600
  192 Frame processing times:  Cur. 4.381481 ms  |  Avg. 3.994792 ms  |  matches:  1600
  193 Frame processing times:  Cur. 4.394279 ms  |  Avg. 3.994819 ms  |  matches:  1600
  194 Frame processing times:  Cur. 4.426982 ms  |  Avg. 3.994845 ms  |  matches:  1600
  195 Frame processing times:  Cur. 4.393297 ms  |  Avg. 3.994872 ms  |  matches:  1600
  196 Frame processing times:  Cur. 4.447001 ms  |  Avg. 3.994898 ms  |  matches:  1600
  197 Frame processing times:  Cur. 4.413797 ms  |  Avg. 3.994924 ms  |  matches:  1600
