pi@raspberrypi:~/Documents/AES-21/Project3/rpi-mmal/build $ perf record ./istool1
Running...
 camera video buffer_size = 1382400
 camera video buffer_num = 2
 preview buffer_size = 1382400
 preview buffer_num = 4
  114 Frame processing times:  Cur. 4.485371 ms  |  Avg. 4.000000 ms  |  matches:  1600
  115 Frame processing times:  Cur. 4.486185 ms  |  Avg. 4.000000 ms  |  matches:  1600
  116 Frame processing times:  Cur. 4.489852 ms  |  Avg. 4.000000 ms  |  matches:  1600
  117 Frame processing times:  Cur. 4.450112 ms  |  Avg. 4.000000 ms  |  matches:  1600
  118 Frame processing times:  Cur. 4.474370 ms  |  Avg. 4.000000 ms  |  matches:  1600
  119 Frame processing times:  Cur. 4.496295 ms  |  Avg. 4.000000 ms  |  matches:  1600
  120 Frame processing times:  Cur. 4.480814 ms  |  Avg. 4.000000 ms  |  matches:  1600
  121 Frame processing times:  Cur. 4.462112 ms  |  Avg. 4.000000 ms  |  matches:  1600
  122 Frame processing times:  Cur. 4.517129 ms  |  Avg. 4.000000 ms  |  matches:  1600
  123 Frame processing times:  Cur. 4.481148 ms  |  Avg. 4.000000 ms  |  matches:  1600
  124 Frame processing times:  Cur. 4.473741 ms  |  Avg. 4.000000 ms  |  matches:  1600
  125 Frame processing times:  Cur. 4.496685 ms  |  Avg. 4.000000 ms  |  matches:  1600
  126 Frame processing times:  Cur. 4.471018 ms  |  Avg. 4.000000 ms  |  matches:  1600
  127 Frame processing times:  Cur. 4.489981 ms  |  Avg. 4.000000 ms  |  matches:  1600
  128 Frame processing times:  Cur. 4.504593 ms  |  Avg. 4.000000 ms  |  matches:  1600
  129 Frame processing times:  Cur. 4.490685 ms  |  Avg. 4.000000 ms  |  matches:  1600
  130 Frame processing times:  Cur. 4.477148 ms  |  Avg. 4.000000 ms  |  matches:  1600
  131 Frame processing times:  Cur. 4.482408 ms  |  Avg. 4.000000 ms  |  matches:  1600
  132 Frame processing times:  Cur. 4.505277 ms  |  Avg. 4.000000 ms  |  matches:  1600
